influencer_name,type,influencer_id,username,followers_count,following_count,avg_likes,avg_comments,total_posts,account_age_days,profile_complete,label
AvaStyle,influencer,inf_1001,ava.style,539563,608,20937,218,1196,4863,1,real
AvaStyle,follower,inf_1001,inf_1001_f000,4589,272,192,3,951,2278,0,real
AvaStyle,follower,inf_1001,inf_1001_f001,904,968,219,4,266,571,1,fake
AvaStyle,follower,inf_1001,inf_1001_f002,684,1773,294,7,990,1114,1,real
AvaStyle,follower,inf_1001,inf_1001_f003,4927,1279,208,3,246,390,1,real
AvaStyle,follower,inf_1001,inf_1001_f004,2572,938,78,34,140,2538,1,real
AvaStyle,follower,inf_1001,inf_1001_f005,1044,1271,297,12,401,599,1,real
AvaStyle,follower,inf_1001,inf_1001_f006,4823,202,110,31,716,2377,1,fake
AvaStyle,follower,inf_1001,inf_1001_f007,4014,1279,237,23,326,1217,0,real
AvaStyle,follower,inf_1001,inf_1001_f008,870,1256,158,33,526,1606,1,fake
AvaStyle,follower,inf_1001,inf_1001_f009,2558,1327,42,7,544,1912,0,fake
AvaStyle,follower,inf_1001,inf_1001_f010,1445,1991,255,26,60,2937,0,fake
AvaStyle,follower,inf_1001,inf_1001_f011,2986,1503,184,31,613,2068,0,real
AvaStyle,follower,inf_1001,inf_1001_f012,2411,1050,38,3,768,1468,1,fake
AvaStyle,follower,inf_1001,inf_1001_f013,2531,1547,202,22,43,2091,1,real
AvaStyle,follower,inf_1001,inf_1001_f014,1159,1091,35,13,806,1377,0,real
AvaStyle,follower,inf_1001,inf_1001_f015,3459,880,259,5,190,2039,1,fake
AvaStyle,follower,inf_1001,inf_1001_f016,1321,1757,225,35,305,1901,1,fake
AvaStyle,follower,inf_1001,inf_1001_f017,2090,389,47,11,174,1150,1,real
AvaStyle,follower,inf_1001,inf_1001_f018,298,1073,98,16,308,216,0,fake
AvaStyle,follower,inf_1001,inf_1001_f019,4579,836,294,20,995,714,1,real
AvaStyle,follower,inf_1001,inf_1001_f020,3940,1922,291,25,427,1834,1,real
AvaStyle,follower,inf_1001,inf_1001_f021,4144,1379,210,3,215,475,0,fake
AvaStyle,follower,inf_1001,inf_1001_f022,1529,305,179,3,124,200,1,real
AvaStyle,follower,inf_1001,inf_1001_f023,4595,287,191,1,92,1051,1,fake
AvaStyle,follower,inf_1001,inf_1001_f024,1416,1379,134,22,636,1691,1,real
AvaStyle,follower,inf_1001,inf_1001_f025,1144,1818,254,29,511,2181,1,real
AvaStyle,follower,inf_1001,inf_1001_f026,1380,289,180,16,510,861,1,real
AvaStyle,follower,inf_1001,inf_1001_f027,1881,1161,190,9,726,2424,0,fake
